High Ground  10E-20  ONE MOM LTR CMM WOE
Rishadan Cutpurse  MMQ-93  MBTWBLUE
Rishadan Footpad  MMQ-94  OLDFRAME
Soothsaying  MMQ-104  OLDFRAME
Stinging Barrier  MMQ-107  MBTWBLUE
Thwart  MMQ-108  MBTWBLUE
Trade Routes  MMQ-112  AFR MID VOW NEO
Cackling Witch  MMQ-119  MBTWBLACK
Deepwood Legate  MMQ-132  MBTWBLACK
Primeval Shambler  MMQ-152  MBTWBLACK
Sever Soul  MMQ-159  MBTWBLACK
Unmask  MMQ-168  MOM LTR CMM
Vendetta  MMQ-170  MBTWBLACK
Arms Dealer  MMQ-172  MBTWRED
Cave Sense  MMQ-179  LCI
Ceremonial Guard  MMQ-182  VOW NEO CLB DMU
Hammer Mage  MMQ-193  ZNR KHM STX MHTWO AFR
Kyren Negotiations  MMQ-198  MBTWRED
Mercadia's Downfall  MMQ-205  MOM LTR CMM WOE MBTWRED
Puppet's Verdict  MMQ-208  ZNR
Thieves' Auction  MMQ-218  MID VOW NEO CLB
Thunderclap  MMQ-219  MBTWRED
Ancestral Mask  MMQ-229  MBTWGREEN
Briar Patch  MMQ-232  MBTWGREEN
Food Chain  MMQ-246  ZNR KHM STX
Hunted Wumpus  MMQ-253  MBTWGREEN
Invigorate  MMQ-254  MBTWGREEN
Land Grant  MMQ-255  MBTWGREEN
Saber Ants  MMQ-267  ZNR KHM STX MHTWO AFR MBTWGREEN
Silverglade Elemental  MMQ-269  MBTWGREEN
Silverglade Pathfinder  MMQ-270  MBTWGREEN
Snake Pit  MMQ-271  MBTWGREEN
Spidersilk Armor  MMQ-273  MBTWGREEN
Vernal Equinox  MMQ-283  KHM STX MHTWO AFR MID VOW
Crenellated Wall  MMQ-290  OLDFRAME
Toymaker  MMQ-314  BRO ONE MOM LTR
High Market  MMQ-320  MOM LTR CMM
Peat Bog  MMQ-322  MBTWBLACK
Foulmire Knight  MOC-249a  MBTWBLACK
Graveshifter  MOC-251  MBTWBLACK
Replicating Ring  MOC-372  MBTWLMC
Elspeth's Smite  MOM-13  MBTWWHITE
Sunder the Gateway  MOM-39  MBTWWHITE
Surge of Salvation  MOM-41  MBTWWHITE
Disturbing Conversion  MOM-54  MBTWBLUE
Meeting of Minds  MOM-66  MBTWBLUE
Wicked Slumber  MOM-84  MBTWBLUE
Gloomfang Mauler  MOM-108  MBTWBLACK
Unseal the Necropolis  MOM-128  MBTWBLACK
Fearless Skald  MOM-138  MBTWRED
Volcanic Spite  MOM-170  MBTWRED
Wrenn's Resolve  MOM-173  MBTWRED
Atraxa's Fall  MOM-176  MBTWGREEN
Storm the Seedcore  MOM-206  MBTWGREEN
Streetwise Negotiator  MOM-207  MBTWGREEN
Timberland Ancient  MOM-210  MBTWGREEN
Referee Squad  MOM-327  MBTWBLUE
Injector Crocodile  MOM-329  MBTWBLACK
Cragsmasher Yeti  MOM-333  MBTWRED
Stonybrook Schoolmaster  MOR-25  STX MHTWO AFR MID VOW
Swell of Courage  MOR-26  MBTWWHITE
Latchkey Faerie  MOR-39  ZNR KHM STX MHTWO AFR
Mothdust Changeling  MOR-42  MBTWBLUE
Nevermaker  MOR-44  MBTWBLUE
Stonybrook Banneret  MOR-51  ZNR KHM STX MHTWO
Moonglove Changeling  MOR-67  MBTWBLACK
Boldwyr Intimidator  MOR-86  MBTWRED
Lightning Crafter  MOR-93  ZNR KHM STX MHTWO AFR
Release the Ants  MOR-98  OLDFRAME
Spitebellows  MOR-105  MBTWRED
Taurean Mauler  MOR-109  CMM
Bramblewood Paragon  MOR-115  FOIL
Deglamer  MOR-118  MBTWGREEN
Game-Trail Changeling  MOR-123  FOIL
Gilt-Leaf Archdruid  MOR-124  CLB DMU BRO MOM
Leaf-Crowned Elder  MOR-128  LTR CMM
Recross the Paths  MOR-133  MBTWGREEN
Unstoppable Ash  MOR-137  LTR CMM
Second Sunrise  MRD-20  VOW NEO CLB DMU
Broodstar  MRD-31  ZNR KHM STX MHTWO AFR
Fatespinner  MRD-36  FOIL
March of the Machines  MRD-42  BRO MOM LTR
Shared Fate  MRD-49  MOM LTR CMM
Barter in Blood  MRD-57  MBTWBLACK
Betrayal of Flesh  MRD-58  MBTWBLACK
Chimney Imp  MRD-59  FOIL
Wall of Blood  MRD-82  VOW NEO CLB DMU MBTWBLACK
Detonate  MRD-88  BRO ONE MOM LTR CMM
Fiery Gambit  MRD-90  FOIL
Grab the Reins  MRD-95  MBTWRED
Mass Hysteria  MRD-99  MKM1
Molder Slug  MRD-125  BRO MOM LTR
Predator's Strike  MRD-128  MBTWGREEN
Viridian Shaman  MRD-139  MBTWGREEN
Bonesplitter  MRD-146  OLDFRAME
Clockwork Dragon  MRD-155  CLB DMU BRO MOM
Crystal Shard  MRD-159  OLDFRAME
Hematite Golem  MRD-185  MBTWRED
Isochron Scepter  MRD-188  ZNR KHM STX MHTWO AFR MID
Krark's Thumb  MRD-190  ZNR KHM STX MHTWO AFR MID
Leveler  MRD-195  FOIL
Mindslaver  MRD-206  FOIL
Pearl Shard  MRD-225  MBTWLMC
Power Conduit  MRD-229  MBTWLMC
Silver Myr  MRD-241  MBTWBLUE
Tower of Eons  MRD-266  OLDFRAME
Tower of Fortunes  MRD-267  LTR CMM
Ancient Den  MRD-278  MHTWO AFR MID VOW NEO OLDFRAME
Great Furnace  MRD-282  ONE MOM LTR CMM
Stalking Stones  MRD-284  FOIL
Tree of Tales  MRD-285  ZNR
Daring Saboteur  NCC-217  MBTWBLUE
Wall of Roots  NCC-319  MBTWGREEN
Reality Shift  NEC-95  MBTWBLUE
Angelic Favor  NEM-1  MBTWWHITE
Fanatical Devotion  NEM-8  MBTWWHITE
Parallax Wave  NEM-17  ZNR KHM STX MHTWO AFR
Seahunter  NEM-41  DMU BRO MOM LTR
Seal of Removal  NEM-42  MBTWBLUE
Submerge  NEM-48  MBTWBLUE
Dark Triumph  NEM-55  MBTWBLACK
Divining Witch  NEM-57  MID VOW NEO CLB
Massacre  NEM-58  MBTWBLACK
Phyrexian Prowler  NEM-65  ONE MOM
Ancient Hydra  NEM-76  MBTWRED
Moggcatcher  NEM-96  ZNR KHM STX MHTWO AFR
Rupture  NEM-97  MBTWRED
Seal of Fire  NEM-98  MBTWRED
Skyshroud Behemoth  NEM-116  ZNR KHM STX MHTWO AFR MID
Skyshroud Claim  NEM-117  MBTWGREEN
Belbe's Armor  NEM-126  MBTWLMC
Belbe's Portal  NEM-127  OLDFRAME
Eye of Yawgmoth  NEM-129  BRO MOM LTR
Terrain Generator  NEM-143  MBTWLMC
Banishing Slash  NEO-3  MBTWWHITE
Imperial Oath  NEO-17  MBTWWHITE
Spirited Companion  NEO-38  MBTWWHITE
Acquisition Octopus  NEO-44  MBTWBLUE
Moon-Circuit Hacker  NEO-67  MBTWBLUE
Suit Up  NEO-81  MBTWBLUE
Dockside Chef  NEO-93  MBTWBLACK
Nashi, Moon Sage's Scion  NEO-114  MOM LTR CMM WOE
Nezumi Prowler  NEO-116  MBTWBLACK
Reckoner's Bargain  NEO-120  MBTWBLACK
Virus Beetle  NEO-128  MBTWBLACK
You Are Already Dead  NEO-129  MBTWBLACK
Bronzeplate Boar  NEO-135  MBTWRED
Experimental Synthesizer  NEO-138  MBTWRED
Rabbit Battery  NEO-157  MBTWRED
Blossom Prancer  NEO-175  LTR CMM WOE LCI
Kappa Tech-Wrecker  NEO-198  MBTWGREEN
Master's Rebuke  NEO-202  MBTWGREEN
Kaito Shizuki  NEO-226  ONE
Circuit Mender  NEO-242  MBTWLMC
Containment Construct  NEO-243  MBTWLMC
Patchwork Automaton  NEO-254  MBTWLMC
Karn Liberated  NPH-1  DMU BRO
Chancellor of the Annex  NPH-6  OLDFRAME
Dispatch  NPH-7  LCI
Due Respect  NPH-8  ONE MOM
Master Splicer  NPH-16  MBTWWHITE
Norn's Annex  NPH-17  FOIL
Porcelain Legionnaire  NPH-19  MBTWWHITE
Puresteel Paladin  NPH-20  CLB DMU BRO MOM
Shattered Angel  NPH-23  MBTWWHITE
Suture Priest  NPH-25  MBTWWHITE
Blighted Agent  NPH-29  FOIL
Deceiver Exarch  NPH-33  MBTWBLUE
Gitaxian Probe  NPH-35  ONE
Jin-Gitaxias, Core Augur  NPH-37  NEO CLB DMU BRO
Phyrexian Metamorph  NPH-42  OLDFRAME
Spined Thopter  NPH-45  ZNR KHM STX
Tezzeret's Gambit  NPH-47  MBTWBLUE
Viral Drake  NPH-49  MBTWBLUE
Wing Splicer  NPH-50  MBTWBLUE
Geth's Verdict  NPH-61  ONE MOM LTR CMM
Reaper of Sheoldred  NPH-72  ONE MOM LTR CMM
Sheoldred, Whispering One  NPH-73  DMU BRO
Artillerize  NPH-79  ONE MOM LTR CMM
Ruthless Invasion  NPH-93  MOM LTR CMM WOE
Slag Fiend  NPH-95  MOM LTR CMM
Mutagenic Growth  NPH-116  MBTWGREEN
Noxious Revival  NPH-118  VOW NEO CLB DMU
Triumph of the Hordes  NPH-123  OLDFRAME
Vorinclex, Voice of Hunger  NPH-127  KHM
Batterskull  NPH-130  NEO CLB DMU BRO MOM
Immolating Souleater  NPH-139  MBTWRED
Unwinding Clock  NPH-164  VOW NEO CLB DMU
Beloved Chaplain  ODY-11  MBTWWHITE
Earnest Fellowship  ODY-21  LTR CMM
Graceful Antelope  ODY-24  DMU BRO MOM LTR
Sacred Rites  ODY-44  VOW NEO CLB DMU
Shelter  ODY-46  MBTWWHITE
Tireless Tribe  ODY-56  MBTWWHITE
Aboshan, Cephalid Emperor  ODY-58  NEO CLB DMU BRO
Careful Study  ODY-70  MBTWBLUE
Cephalid Broker  ODY-71  MBTWBLUE
Patron Wizard  ODY-89  ZNR KHM STX MHTWO AFR
Pedantic Learning  ODY-90  STX
Time Stretch  ODY-108  MOM LTR CMM
Diabolic Tutor  ODY-129  MBTWBLACK
Mindslicer  ODY-149  MHTWO AFR MID VOW NEO
Sadistic Hypnotist  ODY-159  OLDFRAME
Zombie Infestation  ODY-170  MBTWBLACK
Anarchist  ODY-173  MBTWRED
Dwarven Grunt  ODY-185  LTR CMM WOE LCI
Dwarven Recruiter  ODY-186  WOE LCI MBTWRED
Price of Glory  ODY-214  MBTWRED
Reckless Charge  ODY-215  MBTWRED
Rites of Initiation  ODY-217  MBTWRED
Shower of Coals  ODY-221  MBTWRED
Beast Attack  ODY-230  MBTWGREEN
Chatter of the Squirrel  ODY-233  MHTWO AFR MID VOW OLDFRAME
Deep Reconnaissance  ODY-236  LCI MBTWGREEN
Diligent Farmhand  ODY-237  MBTWGREEN
Druid's Call  ODY-239  CLB DMU BRO MOM
Elephant Ambush  ODY-240  MBTWGREEN
Muscle Burst  ODY-252  MBTWGREEN
Nantuko Elder  ODY-254  MBTWGREEN
Nut Collector  ODY-259  MHTWO AFR MID VOW
Squirrel Mob  ODY-273  ZNR
Squirrel Nest  ODY-274  MBTWGREEN
Werebear  ODY-282  MBTWGREEN
Barbarian Ring  ODY-313  CLB DMU BRO ONE MOM
Cabal Pit  ODY-315  MBTWBLACK
Petrified Field  ODY-323  MHTWO AFR MID VOW NEO
Thought-Knot Seer  OGW-9  ZNR
Eldrazi Displacer  OGW-13  ZNR
Affa Protector  OGW-14  WHITEA
Isolation Zone  OGW-22  WHITEA
Kor Sky Climber  OGW-24  WHITEB
Make a Stand  OGW-26  MBTWWHITE
Ondu War Cleric  OGW-31  WHITEA
Searing Light  OGW-33  WHITEA
Containment Membrane  OGW-52  BLUEA
Grip of the Roil  OGW-56  MBTWBLUE
Jwar Isle Avenger  OGW-58  BLUEB
Oblivion Strike  OGW-75  MBTWBLACK
Kalitas, Traitor of Ghet  OGW-86  LCI
Remorseless Punishment  OGW-89  SNC CLB DMU BRO
Tar Snare  OGW-90  BLACKA
Untamed Hunger  OGW-91  BLACKA
Vampire Envoy  OGW-92  BLACKA
Zulaport Chainmage  OGW-93  BLACKA
Reality Hemorrhage  OGW-100  NEO CLB DMU BRO
Boulder Salvo  OGW-102  REDB
Cinder Hellion  OGW-105  REDB
Fall of the Titans  OGW-109  ZNR
Reckless Bushwhacker  OGW-116  MBTWRED
Zada's Commando  OGW-120  REDB
Elemental Uprising  OGW-130  GREENA
Nissa, Voice of Zendikar  OGW-138  RARE
Oath of Nissa  OGW-140  MBTWRM
Pulse of Murasa  OGW-141  GREENA
Tajuru Pathwarden  OGW-145  GREENA
Zendikar Resurgent  OGW-147  ZNR
Ayli, Eternal Pilgrim  OGW-151  MBTWRM
Mina and Denn, Wildborn  OGW-156  MOM LTR CMM WOE
Reflector Mage  OGW-157  MULTICOLOR
Weapons Trainer  OGW-160  MULTICOLOR
Bone Saw  OGW-161  COLORLESS
Mirrorpool  OGW-174  STX MHTWO AFR MID VOW
Wastes  OGW-183  ZNR KHM STX
Prava of the Steel Legion  ONC-87  MBTWWHITE
Against All Odds  ONE-1  MBTWWHITE
Ossification  ONE-26  MBTWWHITE
Planar Disruption  ONE-28  MBTWWHITE
Vanish into Eternity  ONE-36  MBTWWHITE
Experimental Augury  ONE-49  MBTWBLUE
Sheoldred's Edict  ONE-108  MBTWBLACK
Barbed Batterfist  ONE-121  MBTWRED
Blazing Crescendo  ONE-123  MBTWRED
Exuberant Fuseling  ONE-129  MBTWRED
Furnace Punisher  ONE-132  MBTWRED
Tyvar's Stand  ONE-190  MBTWGREEN
Surgical Skullbomb  ONE-243  MBTWBLUE
Ancestor's Prophet  ONS-3  ZNR KHM STX MHTWO AFR
Nova Cleric  ONS-45  CLB DMU BRO ONE MOM
Weathered Wayfarer  ONS-59  OLDFRAME
Whipcorder  ONS-60  MBTWWHITE
Annex  ONS-63  MBTWBLUE
Aphetto Alchemist  ONS-64  MBTWBLUE
Complicate  ONS-76  MBTWBLUE
Ixidor, Reality Sculptor  ONS-89  ZNR KHM MKM1
Mistform Shrieker  ONS-96  OLDFRAME
Quicksilver Dragon  ONS-103  CLB DMU BRO
Read the Runes  ONS-104  KHM
Chain of Smog  ONS-132  DMU BRO ONE MOM LTR MBTWBLACK
Death Pulse  ONS-137  MBTWBLACK
Gravespawn Sovereign  ONS-152  MID VOW NEO CLB
Shepherd of Rot  ONS-168  MBTWBLACK
Brightstone Ritual  ONS-191  DMU BRO ONE MOM LTR
Dwarven Blastminer  ONS-199  MBTWRED
Goblin Taskmaster  ONS-210  MBTWRED
Skirk Fire Marshal  ONS-229  DMU BRO MOM LTR
Solar Blast  ONS-234  MBTWRED
Sparksmith  ONS-235  MBTWRED
Words of War  ONS-244  BRO MOM LTR CMM
Broodhatch Nantuko  ONS-250  MBTWGREEN
Centaur Glade  ONS-251  OLDFRAME
Elven Riders  ONS-254  MBTWGREEN
Krosan Tusker  ONS-272  MKM2
Silvos, Rogue Elemental  ONS-282  CLB DMU BRO
Symbiotic Beast  ONS-287  MBTWGREEN
Tempting Wurm  ONS-291  BRO MOM LTR
Venomspout Brackus  ONS-295  MBTWGREEN
Wall of Mulch  ONS-298  MBTWGREEN
Doom Cannon  ONS-307  LTR CMM
Riptide Laboratory  ONS-322  ZNR
Unholy Grotto  ONS-327  MID VOW NEO CLB
Aven Battle Priest  ORI-6  WHITEB
Blessed Spirits  ORI-7  WHITEB
Celestial Flare  ORI-8  WHITEA
Consul's Lieutenant  ORI-11  MBTWWHITE
Enlightened Ascetic  ORI-12  WHITEA
Healing Hands  ORI-17  WHITEA
Heavy Infantry  ORI-18  WHITEB
Suppression Bonds  ORI-34  WHITEA
Topan Freeblade  ORI-36  WHITEA
Calculated Dismissal  ORI-48  BLUEA
Day's Undoing  ORI-51  VOW NEO SNC CLB DMU BRO
Dreadwaters  ORI-56  BLUEA
Ringwarden Owl  ORI-68  BLUEB
Send to Sleep  ORI-71  BLUEA
Sigiled Starfish  ORI-73  BLUEB
Skaab Goliath  ORI-74  BLUEA
Sphinx's Tutelage  ORI-76  BLUEA
Whirler Rogue  ORI-83  MBTWBLUE
Catacomb Slug  ORI-86  BLACKA
Dark Dabbling  ORI-89  BLACKA
Fetid Imp  ORI-97  BLACKA
Infernal Scarring  ORI-102  BLACKA
Nantuko Husk  ORI-109  BLACKA
Rabid Bloodsucker  ORI-113  BLACKB
Returned Centaur  ORI-116  BLACKA
Revenant  ORI-117  BLACKA
Thornbow Archer  ORI-121  BLACKA
Touch of Moonglove  ORI-123  BLACKA
Weight of the Underworld  ORI-126  BLACKA
Akroan Sergeant  ORI-130  REDB
Bellows Lizard  ORI-132  REDA
Boggart Brute  ORI-133  REDB
Cobblebrute  ORI-138  REDA
Fiery Impulse  ORI-145  MBTWRED
Goblin Piledriver  ORI-151  RARE
Lightning Javelin  ORI-153  REDB
Magmatic Insight  ORI-155  MBTWRED
Pia and Kiran Nalaar  ORI-157  MOM LTR CMM WOE
Prickleboar  ORI-158  REDB
Thopter Engineer  ORI-165  MBTWRED
Caustic Caterpillar  ORI-170  GREENB
Elemental Bond  ORI-174  MBTWGREEN
Gaea's Revenge  ORI-177  BRO ONE MOM LTR CMM
The Great Aurora  ORI-179  MOM LTR CMM WOE
Mantle of Webs  ORI-187  GREENA
Might of the Masses  ORI-188  GREENB
Reclaim  ORI-195  GREENA
Rhox Maulers  ORI-196  GREENA
Skysnare Spider  ORI-197  MBTWGREEN
Vastwood Gorger  ORI-204  GREENA
Yeva's Forcemage  ORI-208  GREENA
Zendikar's Roil  ORI-209  GREENA
Bounding Krasis  ORI-212  MULTICOLOR
Citadel Castellan  ORI-213  MULTICOLOR
Iroas's Champion  ORI-214  MULTICOLOR
Zendikar Incarnate  ORI-219  ZNR
Alchemist's Vial  ORI-220  COLORLESS
Alhammarret's Archive  ORI-221  RARE
Guardians of Meletis  ORI-228  COLORLESS
Hangarback Walker  ORI-229  MBTWRM
Meteorite  ORI-233  COLORLESS
Sigil of Valor  ORI-239  COLORLESS
Flesh to Dust  ORI-280  BLACKA
Fiery Hellhound  ORI-284  REDB
Temple Acolyte  P02-23  MBTWWHITE
Trokin High Guard  P02-26  ZNR KHM STX
Air Elemental  P02-31  AFR MID VOW NEO
Apprentice Sorcerer  P02-32  MBTWBLUE
Undo  P02-59  MBTWBLUE
Ancient Craving  P02-62  ZNR KHM STX MHTWO AFR MID
Dakmor Plague  P02-69  MBTWBLACK
Hand of Death  P02-74  MBTWBLACK
Rain of Daggers  P02-85  MOM LTR CMM
Raise Dead  P02-86  MBTWBLACK
Swarm of Rats  P02-89  MBTWBLACK
Brimstone Dragon  P02-92  OLDFRAME
Goblin Lore  P02-99  ZNR KHM STX MHTWO AFR MID
Ogre Arsonist  P02-110  MBTWRED
Spitting Earth  P02-116  MBTWRED
Bear Cub  P02-123  OLDFRAME
Deathcoil Wurm  P02-125  VOW NEO CLB DMU
Golden Bear  P02-127  MBTWGREEN
Harmony of Nature  P02-128  LCI
Ironhoof Ox  P02-130  MBTWGREEN
Norwood Archers  P02-136  MBTWGREEN
River Bear  P02-144  MBTWGREEN
Salvage  P02-145  MBTWGREEN
Oxidize  P05-4  NEO
Mortify  P07-3  MID VOW NEO
Disenchant  P07-6  ZNR KHM
Harmonize  P08-5  ZNR KHM
Negate  P09-8  ZNR KHM
Terminate  P09-9  ZNR KHM
Sign in Blood  P10-3  VOW NEO CLB
Burst Lightning  P10-8  ZNR KHM
Doom Blade  P11-3  ZNR KHM
Stasis Snare  PBFZ-50  MHTWO AFR MID VOW
Dreampod Druid  PC2-64  MBTWGREEN
Etherium-Horn Sorcerer  PC2-91  ZNR KHM STX
Vela the Night-Clad  PC2-107  VOW NEO CLB
Fractured Powerstone  PC2-111  ZNR KHM STX MHTWO AFR MID
Felidar Umbra  PCA-6  WHITEA
Augury Owl  PCA-14  BLUEA
Guard Gomazoa  PCA-17  BLUEA
Mistblade Shinobi  PCA-20  MBTWBLUE
Sakashima's Student  PCA-24  NEO SNC CLB DMU
Okiba-Gang Shinobi  PCA-35  BLACKB
Arc Trail  PCA-39  REDA
Beetleback Chief  PCA-40  REDA
Erratic Explosion  PCA-41  REDA
Mark of Mutiny  PCA-47  REDB
Preyseizer Dragon  PCA-50  RARE
Rivals' Duel  PCA-51  REDA
Nest Invader  PCA-69  GREENA
Ondu Giant  PCA-71  GREENA
Quiet Disrepair  PCA-75  GREENA
Silhana Ledgewalker  PCA-77  GREENA
Tukatongue Thallid  PCA-79  GREENA
Baleful Strix  PCA-82  MULTICOLOR
Bituminous Blast  PCA-83  MULTICOLOR
Bloodbraid Elf  PCA-84  MULTICOLOR
Deny Reality  PCA-85  MULTICOLOR
Dimir Infiltrator  PCA-86  MBTWLMC
Dragonlair Spider  PCA-87  MBTWRM
Fires of Yavimaya  PCA-92  MULTICOLOR
Fusion Elemental  PCA-93  MULTICOLOR
Kathari Remnant  PCA-98  MULTICOLOR
Shardless Agent  PCA-104  MULTICOLOR
Flayer Husk  PCA-110  COLORLESS
Thran Golem  PCA-114  COLORLESS
Whispersilk Cloak  PCA-115  COLORLESS
Skarrg, the Rage Pits  PCA-127  COLORLESS
Imperious Perfect  PCMP-9  ZNR KHM
Abolish  PCY-1  MBTWWHITE
Reveille Squad  PCY-18  MBTWWHITE
Denying Wind  PCY-32  LTR CMM
Rhystic Study  PCY-45  OLDFRAME
Spiketail Drake  PCY-48  MBTWBLUE
Stormwatch Eagle  PCY-50  LTR CMM WOE LCI
Steal Strength  PCY-79  MBTWBLACK
Flameshot  PCY-90  OLDFRAME
Lesser Gargadon  PCY-97  MHTWO AFR MID VOW MBTWRED
Scoria Cat  PCY-101  MBTWRED
Squirrel Wrangler  PCY-127  OLDFRAME
Vintara Snapper  PCY-132  NEO CLB DMU BRO
Fire Servant  PD2-15  MBTWRED
Diabolic Servitude  PD3-22  MBTWBLACK
Strangleroot Geist  PDKA-127  VOW NEO
Lightning Bolt  PF19-1  ZNR KHM
Aven Riftwatcher  PLC-1  ZNR KHM STX MHTWO AFR MID
Rebuff the Wicked  PLC-12  WOE LCI MBTWWHITE
Stonecloaker  PLC-19  MBTWWHITE
Mana Tithe  PLC-25  OLDFRAME
Sinew Sliver  PLC-30  FOIL
Auramancer's Guise  PLC-34  WOE LCI
Braids, Conjurer Adept  PLC-36  DMU BRO
Dreamscape Artist  PLC-40  MBTWBLUE
Frozen Aether  PLC-54  FOIL
Merfolk Thaumaturgist  PLC-56  MBTWBLUE
Piracy Charm  PLC-58  MBTWBLUE
Serendib Sorcerer  PLC-61  CLB DMU BRO
Dash Hopes  PLC-68  DMU BRO ONE MOM LTR
Shrouded Lore  PLC-91  OLDFRAME
Vampiric Link  PLC-92  MBTWBLACK
Shivan Meteor  PLC-106  ZNR KHM STX MHTWO AFR MID
Stingscourger  PLC-107  MBTWRED
Dead  PLC-113a  MBTWRED
Blood Knight  PLC-115  MBTWRED
Brute Force  PLC-116  MBTWRED
Pyrohemia  PLC-119  MBTWRED
Simian Spirit Guide  PLC-122  ZNR KHM STX MHTWO AFR MID
Evolution Charm  PLC-127  MBTWGREEN
Jedit Ojanen of Efrava  PLC-131  DMU BRO
Kavu Predator  PLC-132  MBTWGREEN
Utopia Vow  PLC-142  MBTWGREEN
Gaea's Anthem  PLC-147  ZNR KHM STX MHTWO AFR MID
Groundbreaker  PLC-148  ZNR KHM STX MHTWO AFR MID
Hedge Troll  PLC-151  MBTWGREEN
Keen Sense  PLC-152  MBTWGREEN
Frenetic Sliver  PLC-157  MBTWLMC
Necrotic Sliver  PLC-159  ZNR KHM STX MHTWO AFR MID
Dominaria's Judgment  PLS-4  DMU BRO MOM LTR
Lashknife Barrier  PLS-9  OLDFRAME
Orim's Chant  PLS-11  DMU BRO MOM LTR
Sunscape Battlemage  PLS-16  ZNR KHM STX MHTWO AFR
Sunscape Familiar  PLS-17  MBTWWHITE
Confound  PLS-22  MBTWBLUE
Rushing River  PLS-30  MBTWBLUE
Sleeping Potion  PLS-34  AFR MID VOW NEO
Stormscape Battlemage  PLS-35  MOM LTR CMM WOE
Bog Down  PLS-39  MBTWBLACK
Dark Suspicions  PLS-40  BRO MOM LTR CMM
Lord of the Undead  PLS-44  ZNR KHM STX MHTWO AFR MID
Goblin Game  PLS-61  OLDFRAME
Implode  PLS-62  ONE MOM LTR CMM
Planeswalker's Fury  PLS-70  MOM LTR CMM
Strafe  PLS-73  MBTWRED
Alpha Kavu  PLS-77  ZNR KHM STX MHTWO
Magnigoth Treefolk  PLS-82  DMU BRO MOM LTR
Nemata, Grove Guardian  PLS-85  LTR CMM
Primal Growth  PLS-87  MBTWGREEN
Ancient Spider  PLS-96  LTR CMM
Cavern Harpy  PLS-97  DMU BRO ONE MOM LTR MBTWLMC
Doomsday Specter  PLS-103  LTR CMM
Ertai, the Corrupted  PLS-107  DMU BRO
Phyrexian Tyranny  PLS-118  ZNR KHM STX MHTWO AFR
Questing Phelddagrif  PLS-119  OLDFRAME
Draco  PLS-131  OLDFRAME
Star Compass  PLS-134  MBTWLMC
Dromar's Cavern  PLS-138  DMU BRO ONE MOM LTR
Forsaken City  PLS-139  CLB DMU BRO MOM
Alabaster Dragon  POR-1  CLB DMU BRO MOM
Angelic Blessing  POR-2  MBTWWHITE
Breath of Life  POR-10  MBTWWHITE
Starlit Angel  POR-30  MBTWWHITE
Wall of Swords  POR-37  MBTWWHITE
Wrath of God  POR-39  ZNR KHM STX
Ancestral Memories  POR-40  LTR CMM
Balance of Power  POR-41  MOM LTR CMM
Cloak of Feathers  POR-44  MBTWBLUE
Cloud Dragon  POR-45  CLB DMU BRO
Command of Unsummoning  POR-48  MBTWBLUE
Exhaustion  POR-54  LTR CMM MBTWBLUE
Flux  POR-55  MBTWBLUE
Horned Turtle  POR-57s  MBTWBLUE
Man-o'-War  POR-59  MBTWBLUE
Merfolk of the Pearl Trident  POR-60  MBTWBLUE
Omen  POR-62  MBTWBLUE
Owl Familiar  POR-63  MBTWBLUE
Sorcerous Sight  POR-68  MBTWBLUE
Storm Crow  POR-69  MBTWBLUE
Symbol of Unsummoning  POR-70  MBTWBLUE
Thing from the Deep  POR-73  CMM
Time Ebb  POR-75  MBTWBLUE
Arrogant Vampire  POR-79  MBTWBLACK
Assassin's Blade  POR-80  AFR MID VOW NEO
Cruel Tutor  POR-87  ZNR KHM
Feral Shadow  POR-93  MBTWBLACK
Noxious Toad  POR-104  NEO CLB DMU BRO
Vampiric Feast  POR-114  VOW NEO CLB
Virtue's Ruin  POR-116  MBTWBLACK
Blaze  POR-118  MBTWRED
Burning Cloak  POR-120  MBTWRED
Fire Imp  POR-126  MBTWRED
Pillaging Horde  POR-142  NEO CLB DMU BRO MOM MBTWRED
Pyroclasm  POR-143  NEO CLB DMU BRO ONE MOM
Raging Minotaur  POR-146  MBTWRED
Stone Rain  POR-151  ZNR KHM
Wall of Granite  POR-155  DMU BRO MOM LTR
Deep Wood  POR-162  LCI
Elite Cat Warrior  POR-163  MBTWGREEN
Elvish Ranger  POR-165  MBTWGREEN
Jungle Lion  POR-171  MBTWGREEN
Mobilize  POR-172  MBTWGREEN
Monstrous Growth  POR-173  MBTWGREEN
Willow Dryad  POR-193  ZNR KHM STX
Dryad Militant  PRTR-214  VOW NEO
Ancient Excavation  PZ2-38  MBTWLMC
Ethereal Armor  Q06-2  MBTWWHITE
Hour of Reckoning  RAV-21  CMM
Loxodon Gatekeeper  RAV-25  CLB DMU BRO MOM
Oathsworn Giant  RAV-27  MBTWWHITE
Veteran Armorer  RAV-34  MBTWWHITE
Drift of Phantasms  RAV-46  ZNR KHM STX MBTWBLUE
Eye of the Storm  RAV-48  ZNR KHM STX MHTWO AFR MID
Flight of Fancy  RAV-49  MBTWBLUE
Muddle the Mixture  RAV-60  MBTWBLUE
Vedalken Dismisser  RAV-73  MBTWBLUE
Dimir House Guard  RAV-83  MBTWBLACK
Golgari Thug  RAV-87  ZNR KHM STX MHTWO AFR MID
Helldozer  RAV-88  MID VOW NEO CLB
Hunted Dragon  RAV-131  ZNR
